adj,noun,type,n,x1,x2,x3,x4,x5,mean_typ,noun_conc
brown,cow,fic,26,4,3,4,3,NA,3.5,4.96
red,apple,acad,25,7,5,6,3,NA,5.25,5
red,apple,fic,60,7,5,6,3,NA,5.25,5
red,apple,mag,165,7,5,6,3,NA,5.25,5
red,apple,news,97,7,5,6,3,NA,5.25,5
red,apple,spok,29,7,5,6,3,NA,5.25,5
purple,cup,fic,11,3,3,2,3,NA,2.75,5
purple,cup,mag,50,3,3,2,3,NA,2.75,5
purple,cup,news,11,3,3,2,3,NA,2.75,5
green,frog,fic,20,6,6,7,NA,NA,6.333333333333333,5
green,frog,mag,22,6,6,7,NA,NA,6.333333333333333,5
green,frog,news,17,6,6,7,NA,NA,6.333333333333333,5
yellow,duck,fic,11,6,3,5,6,NA,5,4.86
red,bird,acad,26,2,3,3,2,NA,2.5,5
red,bird,fic,58,2,3,3,2,NA,2.5,5
red,bird,mag,49,2,3,3,2,NA,2.5,5
red,bird,news,17,2,3,3,2,NA,2.5,5
red,bird,spok,11,2,3,3,2,NA,2.5,5
red,nose,acad,11,2,2,1,3,NA,2,4.89
red,nose,fic,118,2,2,1,3,NA,2,4.89
red,nose,mag,32,2,2,1,3,NA,2,4.89
red,nose,news,16,2,2,1,3,NA,2,4.89
wet,hand,acad,14,4,2,3,3,NA,3,4.72
wet,hand,fic,426,4,2,3,3,NA,3,4.72
wet,hand,mag,84,4,2,3,3,NA,3,4.72
wet,hand,news,28,4,2,3,3,NA,3,4.72
wet,hand,spok,11,4,2,3,3,NA,3,4.72
brown,bear,acad,16,6,5,3,6,NA,5,4.88
brown,bear,fic,56,6,5,3,6,NA,5,4.88
brown,bear,mag,172,6,5,3,6,NA,5,4.88
brown,bear,news,22,6,5,3,6,NA,5,4.88
brown,bear,spok,19,6,5,3,6,NA,5,4.88
green,dog,fic,32,2,1,1,1,NA,1.25,4.85
green,dog,mag,14,2,1,1,1,NA,1.25,4.85
green,dog,news,18,2,1,1,1,NA,1.25,4.85
green,guy,fic,20,1,1,1,1,NA,1,4.68
green,guy,mag,27,1,1,1,1,NA,1,4.68
green,guy,news,12,1,1,1,1,NA,1,4.68
green,guy,spok,25,1,1,1,1,NA,1,4.68
yellow,circle,acad,15,3,3,6,NA,NA,4,4.44
yellow,circle,fic,61,3,3,6,NA,NA,4,4.44
yellow,circle,mag,30,3,3,6,NA,NA,4,4.44
yellow,sun,acad,43,7,6,7,7,NA,6.75,4.83
yellow,sun,fic,175,7,6,7,7,NA,6.75,4.83
yellow,sun,mag,68,7,6,7,7,NA,6.75,4.83
yellow,sun,news,18,7,6,7,7,NA,6.75,4.83
yellow,sun,spok,10,7,6,7,7,NA,6.75,4.83
green,ball,fic,19,3,3,3,3,NA,3,5
green,ball,mag,35,3,3,3,3,NA,3,5
green,ball,news,27,3,3,3,3,NA,3,5
green,star,acad,12,1,3,5,3,NA,3,4.69
green,star,fic,21,1,3,5,3,NA,3,4.69
green,star,mag,46,1,3,5,3,NA,3,4.69
green,star,news,25,1,3,5,3,NA,3,4.69
green,star,spok,14,1,3,5,3,NA,3,4.69
naked,baby,fic,45,5,4,3,NA,NA,4,5
naked,baby,mag,22,5,4,3,NA,NA,4,5
naked,baby,spok,20,5,4,3,NA,NA,4,5
red,block,fic,35,3,5,4,3,NA,3.75,4.48
red,block,mag,18,3,5,4,3,NA,3.75,4.48
red,block,news,20,3,5,4,3,NA,3.75,4.48
red,light,acad,69,3,5,3,3,NA,3.5,4.21
red,light,fic,417,3,5,3,3,NA,3.5,4.21
red,light,mag,208,3,5,3,3,NA,3.5,4.21
red,light,news,155,3,5,3,3,NA,3.5,4.21
red,light,spok,86,3,5,3,3,NA,3.5,4.21
bright,fire,fic,111,6,7,5,5,NA,5.75,4.68
bright,fire,mag,33,6,7,5,5,NA,5.75,4.68
bright,fire,news,15,6,7,5,5,NA,5.75,4.68
bright,light,acad,111,3,5,5,4,NA,4.25,4.21
bright,light,fic,805,3,5,5,4,NA,4.25,4.21
bright,light,mag,464,3,5,5,4,NA,4.25,4.21
bright,light,news,217,3,5,5,4,NA,4.25,4.21
bright,light,spok,155,3,5,5,4,NA,4.25,4.21
brown,page,fic,22,2,2,4,NA,NA,2.6666666666666665,4.9
brown,page,mag,70,2,2,4,NA,NA,2.6666666666666665,4.9
fat,girl,fic,32,3,3,3,3,NA,3,4.85
fat,girl,mag,10,3,3,3,3,NA,3,4.85
green,circle,fic,28,3,3,3,3,NA,3,4.44
