,noun,adj,turker_judgment,wiki_similarity,ldp_similarity,bert_p,bert_gen
0,car,red,3.0,0.3926654160022736,0.2982994616031647,0.08786310255527496,0.01760358363389969
1,card,red,3.25,0.4865281879901886,0.29676201939582825,0.028723562136292458,0.14429445564746857
2,light,red,3.5,0.5035218000411987,0.5688825249671936,1.0,0.0269810538738966
3,leg,red,2.25,0.34614768624305725,0.22505652904510495,0.022327840328216553,0.05719921365380287
4,bird,red,2.5,0.3770584464073181,0.30692058801651,0.16105133295059204,0.01796269230544567
5,bear,red,2.0,0.3463515639305115,0.2500181794166565,0.02507312037050724,0.021845072507858276
6,duck,red,2.0,0.3626222908496857,0.4385974109172821,0.25250571966171265,0.16522414982318878
7,horse,red,1.25,0.3994662761688232,0.3336693346500397,0.22833333909511566,0.12865786254405975
8,frog,red,2.75,0.3517125248908997,0.5255802869796753,1.0,0.006466211285442114
9,cat,red,2.0,0.38241082429885853,0.3439004421234131,0.05675321817398071,0.02901848778128624
10,sheep,red,1.0,0.4108404517173767,0.4356399774551392,0.07684119790792465,0.07348581403493881
11,goldfish,red,2.0,0.3153068423271179,0.18522080779075625,0.4484981298446655,0.05734675005078316
12,basket,red,2.25,0.3418310582637787,0.2306703180074692,0.0012141034239903092,0.021106751635670662
13,tricycle,red,3.5,0.33916106820106506,0.3934061825275421,0.8163202404975891,0.0025571754667907953
14,star,red,2.75,0.4175986349582672,0.7280448079109192,0.2176177203655243,0.13390715420246124
15,piece,red,3.75,0.3367254137992859,0.32787421345710754,0.007531196344643831,0.014633182436227798
16,fish,red,4.0,0.3975615501403809,0.4940876066684723,0.14082928001880646,0.03180350735783577
17,flower,red,3.25,0.4145974218845368,0.6698966026306152,1.0,0.2279725819826126
18,dog,red,2.333333333333333,0.3944172561168671,0.2395736277103424,0.05641673132777214,0.016133170574903488
19,board,red,3.25,0.35468825697898865,0.3019888699054718,0.02077164314687252,0.005367223173379898
20,letter,red,3.0,0.4068682193756104,0.2885555028915405,0.09093935042619705,0.26465919613838196
21,dot,red,4.0,0.4534578323364258,0.6707178354263306,1.0,0.41094550490379333
22,heart,red,5.75,0.39360833168029785,0.2126126438379288,0.06666290760040283,0.027704428881406784
23,hair,red,2.75,0.464445173740387,0.08329430222511293,0.5040549039840698,0.6036229133605957
24,milk,red,1.0,0.35997068881988525,0.17587900161743164,0.38891589641571045,0.09389413893222809
25,ball,red,4.666666666666667,0.3942251205444336,0.3266408443450928,0.17310664057731628,0.03772836551070213
26,circle,red,2.75,0.4283429384231568,0.6060189604759216,0.5595989227294922,0.0836939588189125
27,apple,red,5.25,0.3840983510017395,0.22618316113948825,0.9363487362861633,0.4423964023590088
28,block,red,3.75,0.3188360035419464,0.6459585428237915,0.07893464714288712,0.07635833323001862
29,balloon,red,3.25,0.3621223866939545,0.5064794421195984,1.0,0.003627958009019494
30,reindeer,red,2.75,0.3534661531448364,0.3505457639694214,0.18061310052871704,0.08134913444519043
31,bow,red,4.0,0.3954254984855652,0.3507445752620697,1.0,0.4521750509738922
32,hat,red,3.5,0.4488484859466553,0.3870151937007904,0.17130537331104279,0.3954859673976898
33,penguin,red,1.25,0.318891704082489,0.4508373141288757,0.061110932379961014,0.04769980162382126
34,flag,red,3.0,0.5239422917366028,0.3956094980239868,0.5066415667533875,0.3957466781139374
35,fence,red,2.333333333333333,0.315471351146698,0.39768433570861816,0.10063261538743973,0.04077233746647835
36,sun,red,2.5,0.43110525608062733,0.4420479238033295,0.014353081583976746,0.007311549037694931
37,butterfly,red,2.0,0.310918927192688,0.4676154851913452,0.17998342216014862,0.01058911345899105
38,stick,red,2.25,0.4150405824184418,0.2591919302940369,1.0,0.23366273939609528
39,arm,red,2.0,0.3337141275405884,0.23900897800922394,0.02855021320283413,0.04553359001874924
40,child,red,1.25,0.34845736622810364,0.0822497010231018,0.021458815783262253,0.0004049011040478945
41,tail,red,3.6666666666666665,0.4276551008224487,0.4464156925678253,0.8684753775596619,0.11334505677223206
42,clay,red,5.0,0.4333176910877228,0.3520293235778809,0.02320721000432968,0.5434417724609375
43,couch,red,3.5,0.3033732771873474,0.14153458178043365,0.301000714302063,0.011351687833666801
44,ocean,red,1.75,0.3937990069389343,0.2822284698486328,0.02544698864221573,0.0061147077940404415
45,tractor,red,4.25,0.3653703033924103,0.3796824812889099,0.3559572100639343,0.021335294470191002
46,cherry,red,6.25,0.4481869339942932,0.4476184248924256,1.0,1.0
47,eye,red,2.6666666666666665,0.3940896093845368,0.3461553454399109,0.7962772250175476,0.9106127619743347
48,tomato,red,5.5,0.4567384719848633,0.4227472245693207,1.0,0.5086084604263306
49,onion,red,3.75,0.4344324171543121,0.19987207651138306,0.8791822195053101,0.27296480536460876
50,plant,red,2.333333333333333,0.316621333360672,0.32660603523254395,0.0006904343608766794,0.004727518185973167
51,hand,red,2.0,0.4340644478797913,0.2409181445837021,0.1582259237766266,0.07604476064443588
52,rose,red,5.25,0.4086865186691284,0.3106560111045837,0.058860260993242264,1.0
53,crayon,red,3.5,0.4372093081474304,0.6431010961532593,1.0,0.24039307236671448
54,bush,red,1.75,0.3595640957355499,0.3298890590667725,0.1315750628709793,0.10125897824764252
55,sky,red,2.25,0.5049946308135986,0.4061842560768128,0.017871815711259842,0.06341221928596497
56,house,red,2.25,0.3691005706787109,0.005505284760147333,0.04033499211072922,0.029536738991737366
57,guy,red,1.6,0.3436896204948425,0.25488004088401794,0.00536299915984273,0.004268493503332138
58,squirrel,red,2.75,0.44124868512153625,0.25751370191574097,0.3504287898540497,0.042400527745485306
59,potato,red,3.25,0.3872990310192108,0.16669051349163055,0.013651828281581402,0.37223681807518005
60,square,red,3.0,0.451295018196106,0.7224276661872864,0.06062996760010719,0.0224926620721817
61,clock,red,2.5,0.3842851221561432,0.4317576587200165,0.009447136893868446,0.0013824234483763576
62,fire,red,5.75,0.3978234231472016,0.2855017781257629,0.6058539748191833,0.00794838648289442
63,engine,red,3.0,0.3148013949394226,0.2851202487945557,0.14267119765281677,0.00960925966501236
64,crab,red,5.0,0.44874635338783264,0.2335726767778397,0.03859402611851692,0.03361957520246506
65,barn,red,4.75,0.34600672125816345,0.3404989242553711,0.08961193263530731,0.047598276287317276
66,strawberry,red,5.5,0.4624450206756592,0.41734227538108826,1.0,0.3448953926563263
67,shoe,red,4.0,0.38923245668411255,0.2341465651988983,0.07437047362327576,0.2506226897239685
68,top,red,3.0,0.4648708701133728,0.3311370313167572,0.07516895979642868,0.09708849340677261
69,bucket,red,3.4,0.421870231628418,0.18551822006702426,0.09590889513492584,0.0008216997375711799
70,whale,red,1.0,0.3594050407409668,0.4593513309955597,0.041738931089639664,0.04280513525009155
71,turtle,red,1.75,0.40751296281814575,0.5772111415863037,0.140444815158844,0.022771574556827545
72,bag,red,3.0,0.3764012753963471,0.08749566972255708,0.10828237235546112,0.007902970537543297
73,person,red,2.0,0.270308256149292,0.4606941640377045,0.0012626731768250465,0.011495492421090603
74,oil,red,2.75,0.35936835408210754,0.3691175282001496,0.10316405445337296,0.14772988855838776
75,pot,red,3.0,0.3867030739784241,0.4055146276950836,0.08308958262205124,0.01286501344293356
76,cup,red,3.75,0.3485945761203766,0.3171558976173401,0.1258273422718048,0.2615586221218109
77,juice,red,3.6666666666666665,0.4219271838665009,0.2232649028301239,0.005787997040897608,0.26830923557281494
