subject,session,utt_id,noun,adj,prenominal,adj_stem,noun_stem,x1,x2,x3,x4,x5,mean_typ,article,noun_conc,noun_freq,age
22,1,228,car,red,TRUE,red,car,3,3,3,3,NA,3,a,4.89,2310,14
22,1,569,fire,hot,FALSE,hot,fire,7,7,7,6,NA,6.75,a,4.68,298,14
22,3,2444,card,red,FALSE,red,card,3,3,5,2,NA,3.25,a,4.9,852,22
22,4,3000,color,orange,TRUE,orang,color,3,7,3,3,NA,4,a,4.08,4028,26
22,4,3260,forest,dark,TRUE,dark,forest,4,6,3,4,NA,4.25,a,4.76,59,26
22,4,3339,mud,thick,FALSE,thick,mud,5,5,6,NA,NA,5.333333333333333,NA,4.86,132,26
22,4,3358,forest,dark,TRUE,dark,forest,4,6,3,4,NA,4.25,a,4.76,59,26
22,4,3417,bed,upstairs,FALSE,upstair,bed,3,5,3,6,NA,4.25,a,5,788,26
22,4,3563,box,green,TRUE,green,box,3,3,3,2,NA,2.75,a,4.9,1208,26
22,4,3565,top,green,FALSE,green,top,3,3,3,2,NA,2.75,a,3.93,1312,26
22,4,3565,box,green,FALSE,green,box,3,3,3,2,NA,2.75,a,4.9,1208,26
22,4,3573,box,green,TRUE,green,box,3,3,3,2,NA,2.75,a,4.9,1208,26
22,4,3805,box,green,TRUE,green,box,3,3,3,2,NA,2.75,a,4.9,1208,26
22,4,3813,top,green,FALSE,green,top,3,3,3,2,NA,2.75,a,3.93,1312,26
22,4,3813,box,green,FALSE,green,box,3,3,3,2,NA,2.75,a,4.9,1208,26
22,4,4382,top,green,FALSE,green,top,3,3,3,2,NA,2.75,a,3.93,1312,26
22,4,4382,box,green,FALSE,green,box,3,3,3,2,NA,2.75,a,4.9,1208,26
22,5,4556,eye,dark,TRUE,dark,ey,3,4,3,5,NA,3.75,an,4.9,1216,30
22,5,4703,air,hot,TRUE,hot,air,3,4,4,4,NA,3.75,NA,4.11,259,30
22,5,4712,air,hot,FALSE,hot,air,3,4,4,4,NA,3.75,NA,4.11,259,30
22,5,4723,tunnel,dark,FALSE,dark,tunnel,5,3,5,5,NA,4.5,a,4.82,212,30
22,5,4726,air,hot,TRUE,hot,air,3,4,4,4,NA,3.75,NA,4.11,259,30
22,5,4776,tail,curly,TRUE,curli,tail,2,5,3,3,NA,3.25,a,4.96,375,30
22,5,4777,tail,curly,TRUE,curli,tail,2,5,3,3,NA,3.25,a,4.96,375,30
22,5,4805,phone,pink,TRUE,pink,phone,3,3,2,4,NA,3,a,4.86,601,30
22,5,5113,color,green,FALSE,green,color,3,3,5,5,NA,4,a,4.08,4028,30
22,5,5134,cap,pink,FALSE,pink,cap,2,3,5,NA,NA,3.3333333333333335,a,4.59,171,30
22,5,5136,basement,pink,FALSE,pink,basement,1,2,1,2,NA,1.5,a,4.89,113,30
22,5,5236,table,wet,FALSE,wet,tabl,3,2,2,3,NA,2.5,a,4.9,1375,30
22,6,5616,light,red,TRUE,red,light,3,5,3,3,NA,3.5,a,4.21,768,34
22,6,5654,foot,wet,TRUE,wet,foot,3,3,3,3,NA,3,a,4.9,1572,34
22,6,5709,wedding,teal,FALSE,teal,wed,2,5,3,2,NA,3,a,3.92,31,34
22,6,5831,leg,red,FALSE,red,leg,1,1,1,6,NA,2.25,a,4.83,774,34
22,6,5873,chicken,rubber,TRUE,rubber,chicken,3,2,2,NA,NA,2.3333333333333335,a,4.8,594,34
22,6,6140,orange,orange,FALSE,orang,orang,7,3,6,6,NA,5.5,an,4.66,1195,34
22,6,6140,orange,orange,FALSE,orang,orang,7,3,6,6,NA,5.5,an,4.66,1195,34
22,6,6140,ark,orange,FALSE,orang,ark,2,2,3,2,NA,2.25,an,4.67,18,34
22,6,6265,ark,purple,FALSE,purpl,ark,2,1,1,2,NA,1.5,an,4.67,18,34
22,6,6271,ark,purple,TRUE,purpl,ark,2,1,1,2,NA,1.5,an,4.67,18,34
22,6,6322,color,teal,FALSE,teal,color,2,3,2,3,NA,2.5,a,4.08,4028,34
22,6,6322,color,green,FALSE,green,color,3,3,5,5,NA,4,a,4.08,4028,34
22,6,6411,food,upstairs,FALSE,upstair,food,3,1,2,4,NA,2.5,NA,4.8,906,34
22,6,6422,shelf,bottom,FALSE,bottom,shelf,3,5,3,2,NA,3.25,a,4.96,89,34
22,6,6521,water,dirty,TRUE,dirti,water,5,3,5,2,NA,3.75,NA,5,2636,34
22,7,7065,tongue,hot,FALSE,hot,tongu,2,2,3,2,NA,2.25,a,4.93,154,38
22,7,7317,phone,light,FALSE,light,phone,5,5,6,NA,NA,5.333333333333333,a,4.86,601,38
22,7,7339,sweet,salty,FALSE,salti,sweet,3,5,3,3,NA,3.5,a,4,455,38
22,7,7348,sweet,salty,FALSE,salti,sweet,3,5,3,3,NA,3.5,a,4,455,38
22,8,7911,cover,sweaty,FALSE,sweati,cover,3,3,3,1,NA,2.5,a,4.23,406,42
22,9,8617,board,flat,FALSE,flat,board,4,6,4,2,NA,4,a,4.57,171,46
22,9,8817,tire,flat,TRUE,flat,tire,3,2,3,3,NA,2.75,a,5,960,46
22,10,9787,shirt,orange,TRUE,orang,shirt,3,3,3,3,NA,3,a,4.94,699,50
22,10,10243,egg,round,FALSE,round,egg,2,1,5,7,NA,3.75,an,4.97,833,50
22,11,11063,day,sunny,TRUE,sunni,dai,5,5,4,3,NA,4.25,a,3.92,1211,54
22,11,11096,sheep,woolly,TRUE,woolli,sheep,6,7,3,5,NA,5.25,a,4.9,240,54
22,11,11096,head,woolly,FALSE,woolli,head,2,1,3,2,NA,2,a,4.75,1340,54
22,11,11104,sheep,woolly,TRUE,woolli,sheep,6,7,3,5,NA,5.25,a,4.9,240,54
22,11,11104,head,woolly,FALSE,woolli,head,2,1,3,2,NA,2,a,4.75,1340,54
22,11,11117,book,flat,FALSE,flat,book,6,2,4,5,NA,4.25,a,4.9,3761,54
22,12,12177,sand,limp,FALSE,limp,sand,2,1,1,NA,NA,1.3333333333333333,NA,5,287,58
22,12,12177,sheep,limp,FALSE,limp,sheep,3,3,2,2,NA,2.5,a,4.9,240,58
22,12,12210,sheep,sandy,FALSE,sandi,sheep,2,1,2,NA,NA,1.6666666666666667,a,4.9,240,58
22,12,12210,cookie,sandy,FALSE,sandi,cooki,2,2,1,2,NA,1.75,a,5,1280,58
22,12,12210,apricot,sandy,FALSE,sandi,apricot,2,1,2,NA,NA,1.6666666666666667,an,4.97,11,58
22,12,12217,sheep,wet,FALSE,wet,sheep,3,3,3,3,NA,3,a,4.9,240,58
22,12,12326,stool,wooden,TRUE,wooden,stool,3,5,NA,NA,NA,4,a,4.9,74,58
