"","adj","noun","session","n","adj_stem","noun_stem","adult_n","mean_typ"
"1","green","ball",2,1,"green","ball",34,3
"2","dirty","hand",3,4,"dirti","hand",30,3.5
"3","dirty","hand",3,4,"dirti","hand",30,3.5
"4","dirty","hand",3,4,"dirti","hand",30,3.5
"5","dirty","hand",3,4,"dirti","hand",30,3.5
"6","dirty","car",3,3,"dirti","car",3,5
"7","dirty","car",3,3,"dirti","car",3,5
"8","dirty","car",3,3,"dirti","car",3,5
"9","green","bean",3,3,"green","bean",11,4
"10","green","bean",3,3,"green","bean",11,4
"11","green","bean",3,3,"green","bean",11,4
"12","green","bubble",3,3,"green","bubbl",1,2.66666666666667
"13","green","bubble",3,3,"green","bubbl",1,2.66666666666667
"14","green","bubble",3,3,"green","bubbl",1,2.66666666666667
"15","red","towel",3,3,"red","towel",1,3.75
"16","red","towel",3,3,"red","towel",1,3.75
"17","red","towel",3,3,"red","towel",1,3.75
"18","rocky","truck",3,3,"rocki","truck",9,1.25
"19","rocky","truck",3,3,"rocki","truck",9,1.25
"20","rocky","truck",3,3,"rocki","truck",9,1.25
"21","brown","dot",3,2,"brown","dot",3,3
"22","brown","dot",3,2,"brown","dot",3,3
"23","hot","tea",3,2,"hot","tea",22,4.5
"24","hot","tea",3,2,"hot","tea",22,4.5
"25","naked","baby",3,2,"nake","babi",7,4
"26","naked","baby",3,2,"nake","babi",7,4
"27","pink","cup",3,2,"pink","cup",10,3
"28","pink","cup",3,2,"pink","cup",10,3
"29","red","car",3,2,"red","car",74,3
"30","red","car",3,2,"red","car",74,3
"31","red","tractor",3,2,"red","tractor",1,4.25
"32","red","tractor",3,2,"red","tractor",1,4.25
"33","bright","color",3,1,"bright","color",12,3.5
"34","dark","hair",3,1,"dark","hair",2,4.6
"35","dirty","park",3,1,"dirti","park",2,3.33333333333333
"36","dirty","shoe",3,1,"dirti","shoe",10,4
"37","green","ball",3,1,"green","ball",34,3
"38","green","money",3,1,"green","monei",3,6.5
"39","green","pepper",3,1,"green","pepper",16,3.33333333333333
"40","green","pot",3,1,"green","pot",1,2.75
"41","green","strawberry",3,1,"green","strawberri",1,2.25
"42","green","tea",3,1,"green","tea",2,4.5
"43","hot","baby",3,1,"hot","babi",5,2.25
"44","hot","pot",3,1,"hot","pot",5,3.75
"45","pink","lip",3,1,"pink","lip",2,5
"46","pink","towel",3,1,"pink","towel",2,3
"47","red","crayon",3,1,"red","crayon",18,3.5
"48","red","truck",3,1,"red","truck",9,3.25
"49","sunny","day",3,1,"sunni","dai",21,4.25
"50","yellow","cup",3,1,"yellow","cup",27,3
"51","yellow","fish",3,1,"yellow","fish",19,3.25
"52","orange","fish",4,10,"orang","fish",28,3.25
"53","orange","fish",4,10,"orang","fish",28,3.25
"54","orange","fish",4,10,"orang","fish",28,3.25
"55","orange","fish",4,10,"orang","fish",28,3.25
"56","orange","fish",4,10,"orang","fish",28,3.25
"57","orange","fish",4,10,"orang","fish",28,3.25
"58","orange","fish",4,10,"orang","fish",28,3.25
"59","orange","fish",4,10,"orang","fish",28,3.25
"60","orange","fish",4,10,"orang","fish",28,3.25
"61","orange","fish",4,10,"orang","fish",28,3.25
"62","green","car",4,6,"green","car",25,3.5
"63","green","car",4,6,"green","car",25,3.5
"64","green","car",4,6,"green","car",25,3.5
"65","green","car",4,6,"green","car",25,3.5
"66","green","car",4,6,"green","car",25,3.5
"67","green","car",4,6,"green","car",25,3.5
"68","rubber","duck",4,6,"rubber","duck",10,3.5
"69","rubber","duck",4,6,"rubber","duck",10,3.5
"70","rubber","duck",4,6,"rubber","duck",10,3.5
"71","rubber","duck",4,6,"rubber","duck",10,3.5
"72","rubber","duck",4,6,"rubber","duck",10,3.5
"73","rubber","duck",4,6,"rubber","duck",10,3.5
"74","red","balloon",4,5,"red","balloon",21,3.25
"75","red","balloon",4,5,"red","balloon",21,3.25
"76","red","balloon",4,5,"red","balloon",21,3.25
"77","red","balloon",4,5,"red","balloon",21,3.25
"78","red","balloon",4,5,"red","balloon",21,3.25
"79","brown","bear",4,4,"brown","bear",42,5
"80","brown","bear",4,4,"brown","bear",42,5
"81","brown","bear",4,4,"brown","bear",42,5
"82","brown","bear",4,4,"brown","bear",42,5
"83","green","bean",4,4,"green","bean",11,4
"84","green","bean",4,4,"green","bean",11,4
"85","green","bean",4,4,"green","bean",11,4
"86","green","bean",4,4,"green","bean",11,4
"87","brown","shoe",4,3,"brown","shoe",5,4.25
"88","brown","shoe",4,3,"brown","shoe",5,4.25
"89","brown","shoe",4,3,"brown","shoe",5,4.25
"90","green","color",4,3,"green","color",16,4
"91","green","color",4,3,"green","color",16,4
"92","green","color",4,3,"green","color",16,4
"93","green","flower",4,2,"green","flower",4,2.5
"94","green","flower",4,2,"green","flower",4,2.5
"95","hot","syrup",4,2,"hot","syrup",1,2
"96","hot","syrup",4,2,"hot","syrup",1,2
"97","hot","tub",4,2,"hot","tub",12,3
"98","hot","tub",4,2,"hot","tub",12,3
"99","purple","house",4,2,"purpl","hous",1,2.25
"100","purple","house",4,2,"purpl","hous",1,2.25
"101","red","bird",4,2,"red","bird",83,2.5
"102","red","bird",4,2,"red","bird",83,2.5
"103","red","cookie",4,2,"red","cooki",6,1.66666666666667
"104","red","cookie",4,2,"red","cooki",6,1.66666666666667
"105","yellow","block",4,2,"yellow","block",12,2.75
"106","yellow","block",4,2,"yellow","block",12,2.75
"107","yellow","cup",4,2,"yellow","cup",27,3
"108","yellow","cup",4,2,"yellow","cup",27,3
"109","dirty","hand",4,1,"dirti","hand",30,3.5
"110","dirty","shirt",4,1,"dirti","shirt",6,4.5
"111","fuzzy","hair",4,1,"fuzzi","hair",1,2.75
"112","green","boat",4,1,"green","boat",5,3
"113","green","key",4,1,"green","kei",1,2.25
"114","green","tree",4,1,"green","tree",19,5.33333333333333
"115","green","truck",4,1,"green","truck",5,3
"116","hot","cereal",4,1,"hot","cereal",1,2.75
"117","orange","color",4,1,"orang","color",9,4
"118","orange","orange",4,1,"orang","orang",15,5.5
"119","orange","pumpkin",4,1,"orang","pumpkin",4,5
"120","orange","shirt",4,1,"orang","shirt",9,3
"121","outside","window",4,1,"outsid","window",1,4.5
"122","pink","crayon",4,1,"pink","crayon",9,2.5
"123","pink","tulip",4,1,"pink","tulip",1,3.5
"124","purple","cat",4,1,"purpl","cat",44,1.25
"125","purple","duck",4,1,"purpl","duck",6,1
"126","purple","floor",4,1,"purpl","floor",2,3
"127","red","apple",4,1,"red","appl",37,5.25
"128","red","car",4,1,"red","car",74,3
"129","red","dragon",4,1,"red","dragon",1,3
"130","red","hat",4,1,"red","hat",21,3.5
"131","red","house",4,1,"red","hous",4,2.25
"132","red","turtle",4,1,"red","turtl",2,1.75
"133","yellow","car",4,1,"yellow","car",21,2.25
"134","yellow","crayon",4,1,"yellow","crayon",12,3.25
"135","yellow","duck",4,1,"yellow","duck",56,5
"136","yellow","hat",4,1,"yellow","hat",16,4
"137","red","car",5,11,"red","car",74,3
"138","red","car",5,11,"red","car",74,3
"139","red","car",5,11,"red","car",74,3
"140","red","car",5,11,"red","car",74,3
"141","red","car",5,11,"red","car",74,3
"142","red","car",5,11,"red","car",74,3
"143","red","car",5,11,"red","car",74,3
"144","red","car",5,11,"red","car",74,3
"145","red","car",5,11,"red","car",74,3
"146","red","car",5,11,"red","car",74,3
"147","red","car",5,11,"red","car",74,3
"148","curly","hair",5,4,"curli","hair",15,3.25
"149","curly","hair",5,4,"curli","hair",15,3.25
"150","curly","hair",5,4,"curli","hair",15,3.25
"151","curly","hair",5,4,"curli","hair",15,3.25
"152","dark","hair",5,4,"dark","hair",2,4.6
"153","dark","hair",5,4,"dark","hair",2,4.6
"154","dark","hair",5,4,"dark","hair",2,4.6
"155","dark","hair",5,4,"dark","hair",2,4.6
"156","red","cookie",5,4,"red","cooki",6,1.66666666666667
"157","red","cookie",5,4,"red","cooki",6,1.66666666666667
"158","red","cookie",5,4,"red","cooki",6,1.66666666666667
"159","red","cookie",5,4,"red","cooki",6,1.66666666666667
"160","spiky","fish",5,4,"spiki","fish",8,2.5
"161","spiky","fish",5,4,"spiki","fish",8,2.5
