subid,itemid,trialnum,adjective,noun,article,adj_article,rating,date,timestamp,reactiontime
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,0,battery,honey,NA,NA,1,5/8/2023,18:38:24,2551
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,1,fat,hen,a,a,3,5/8/2023,18:38:26,2184
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,2,castle,puzzle,a,a,3,5/8/2023,18:38:28,1460
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,3,red,hexagon,a,a,3,5/8/2023,18:38:30,1214
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,4,red,dog,a,a,3,5/8/2023,18:38:32,1496
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,5,glazed,window,a,a,3,5/8/2023,18:38:33,1373
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,6,horned,viper,a,a,2,5/8/2023,18:38:37,2891
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,7,round,body,a,a,3,5/8/2023,18:38:39,1405
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,8,coral,reef,a,a,3,5/8/2023,18:38:41,2307
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,9,coke,cast,a,a,2,5/8/2023,18:38:44,2126
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,10,girl,glass,a,a,2,5/8/2023,18:38:47,2628
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,11,pipe,cover,a,a,2,5/8/2023,18:38:49,1617
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,12,elephant,mommy,a,an,2,5/8/2023,18:38:51,1485
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,13,NA,NA,NA,NA,5,5/8/2023,18:38:53,1893
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,14,smiley,cake,a,a,2,5/8/2023,18:39:32,38591
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,15,yellow,slab,a,a,3,5/8/2023,18:39:35,1967
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,16,top,buckle,a,a,3,5/8/2023,18:39:37,1899
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,17,green,suit,a,a,3,5/8/2023,18:39:39,1493
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,18,green,chain,a,a,3,5/8/2023,18:39:41,1895
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,19,purple,scissors,NA,NA,3,5/8/2023,18:39:43,1870
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,20,purple,circle,a,a,3,5/8/2023,18:39:45,1452
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,21,roast,marshmallow,a,a,4,5/8/2023,18:39:48,2620
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,22,apple,mommy,a,an,1,5/8/2023,18:39:51,2588
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,23,daddy,mom,a,a,8,5/8/2023,18:39:54,2225
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,24,cookie,sheet,a,a,3,5/8/2023,18:39:56,1813
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,25,street,corner,a,a,3,5/8/2023,18:39:58,1605
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,26,bath,tile,a,a,3,5/8/2023,18:40:00,1327
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,27,yellow,belt,a,a,3,5/8/2023,18:40:02,1340
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,28,green,horse,a,a,2,5/8/2023,18:40:04,2027
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,29,bed,breakfast,a,a,3,5/8/2023,18:40:07,2061
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,30,woolly,sheep,a,a,3,5/8/2023,18:40:56,49249
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,31,ad,green,NA,NA,3,5/8/2023,18:40:59,2473
8774-7baafa3e-9380-4634-b690-85491cd562c1,166,32,bald,head,a,a,3,5/8/2023,18:41:02,2242
