adj,noun_orig,noun,mass,adj_article,noun_article,article
ox,tail,tail,FALSE,an,NA,a
plastic,bags,bag,FALSE,a,NA,a
bible,school,school,FALSE,a,NA,a
joint,group,group,FALSE,a,NA,a
giant,committee,committee,FALSE,a,NA,a
executive,committee,committee,FALSE,an,NA,a
bible,road,road,FALSE,a,NA,a
orange,leaflet,leaflet,FALSE,an,NA,a
red,side,side,FALSE,a,NA,a
forty,people,person,FALSE,a,NA,a
rash,treasurer,treasurer,FALSE,a,NA,a
forty,pound,pound,FALSE,a,NA,a
yellow,sheets,sheet,FALSE,a,NA,a
forty,chapels,chapel,FALSE,a,NA,a
directory,root,root,FALSE,a,NA,a
print,printer,printer,FALSE,a,NA,a
sweet,person,person,FALSE,a,NA,a
forty,pounds,pound,FALSE,a,NA,a
dish,mum,mum,FALSE,a,NA,a
dish,cloth,cloth,FALSE,a,NA,a
dark,hair,hair,TRUE,,a,
key,windowsill,windowsill,FALSE,a,NA,a
brandy,brandy,brandy,TRUE,,NA,
outhouse,door,door,FALSE,an,NA,a
furniture,curtains,curtain,FALSE,a,NA,a
pelican,crossing,crossing,FALSE,a,NA,a
fridge,door,door,FALSE,a,NA,a
key,back,back,FALSE,a,NA,a
thick,loaf,loaf,FALSE,a,NA,a
dark,yard,yard,FALSE,a,NA,a
burglar,alarm,alarm,FALSE,a,NA,an
ant,powder,powder,TRUE,,NA,
wet,filter,filter,FALSE,a,NA,a
green,men,man,FALSE,a,NA,a
thick,pound,pound,FALSE,a,NA,a
dustbin,duck,duck,FALSE,a,NA,a
hot,buns,bun,FALSE,a,NA,a
fish,seafood,seafood,TRUE,,NA,
fish,meal,meal,FALSE,a,NA,a
fish,shops,shop,FALSE,a,NA,a
fish,shop,shop,FALSE,a,NA,a
material,material,material,FALSE,a,NA,a
pound,postage,postage,TRUE,,NA,
sugar,spoon,spoon,FALSE,a,NA,a
cut,bread,bread,TRUE,,NA,
apple,pie,pie,FALSE,an,NA,a
round,edge,edge,FALSE,a,NA,an
rust,ones,one,FALSE,a,a,a
caravan,season,season,FALSE,a,NA,a
round,corner,corner,FALSE,a,NA,a
