subid,condition,counter,trialtype,chosetarget,choselure,attncheckscore,targetname,chosenname,adj,targetsize,searchtype,choseunique,targetshape,targetcolor,targetword,distractorshape1,distractorcolor1,date,timestamp,rtsearch,targetpos,lurepos,obj1shape,obj1color,obj2shape,obj2color,obj3shape,"obj3color
",obj1size,obj2size,"obj3size
"
154,color,1,3,TRUE,FALSE,0,19bluebig.jpg,19bluebig.jpg,FALSE,big,uniquetarget,TRUE,19,blue,sprock,11,purple,7/6/2020,16:54,3805,2,0,11,purple,19,blue,11,"purple
",NA,NA,NA
154,color,2,2,FALSE,TRUE,0,1greenbig.jpg,stim-images/object12greenbig.jpg,TRUE,big,contrast,TRUE,1,green,lomet,12,purple,7/6/2020,16:54,4892,3,1,12,green,1,purple,1,"green
",NA,NA,NA
154,color,3,4,TRUE,FALSE,0,10redbig.jpg,10redbig.jpg,TRUE,big,uniquetarget,TRUE,10,red,gade,15,purple,7/6/2020,16:54,3242,3,0,15,purple,15,purple,10,"red
",NA,NA,NA
154,color,4,4,TRUE,FALSE,0,14greenbig.jpg,14greenbig.jpg,TRUE,big,uniquetarget,TRUE,14,green,toma,16,red,7/6/2020,16:54,4451,1,0,14,green,16,red,16,"red
",NA,NA,NA
154,color,5,2,FALSE,TRUE,0,4redbig.jpg,stim-images/object8redbig.jpg,TRUE,big,contrast,TRUE,4,red,wug,8,purple,7/6/2020,16:54,11832,1,3,4,red,4,purple,8,"red
",NA,NA,NA
154,color,6,1,FALSE,TRUE,0,17purplebig.jpg,stim-images/object18purplebig.jpg,FALSE,big,contrast,TRUE,17,purple,zorp,18,red,7/6/2020,16:54,4081,1,3,17,purple,17,red,18,"purple
",NA,NA,NA
154,color,7,1,FALSE,TRUE,0,5purplebig.jpg,stim-images/object9purplebig.jpg,FALSE,big,contrast,TRUE,5,purple,koba,9,red,7/6/2020,16:54,3530,3,1,9,purple,5,red,5,"purple
",NA,NA,NA
154,color,8,3,TRUE,FALSE,0,3bluebig.jpg,3bluebig.jpg,FALSE,big,uniquetarget,TRUE,3,blue,undefined,6,purple,7/6/2020,16:54,6062,2,0,6,purple,3,blue,6,"purple
",NA,NA,NA
154,color,9,0,FALSE,FALSE,5,,,FALSE,big,attncheck,FALSE,3,blue,undefined,6,purple,7/6/2020,16:54,6062,0,0,undefined,undefined,undefined,undefined,undefined,"undefined
",NA,NA,NA
154,color,10,0,TRUE,FALSE,5,,,FALSE,big,colorcheck,FALSE,3,red,undefined,6,green,7/6/2020,16:54,6062,0,0,undefined,undefined,undefined,undefined,undefined,"undefined
",NA,NA,NA
154,color,11,0,TRUE,FALSE,5,,,FALSE,big,colorcheck,FALSE,3,blue,undefined,6,green,7/6/2020,16:54,6062,0,0,undefined,undefined,undefined,undefined,undefined,"undefined
",NA,NA,NA
154,color,12,0,TRUE,FALSE,5,,,FALSE,big,colorcheck,FALSE,3,blue,undefined,6,purple,7/6/2020,16:54,6062,0,0,undefined,undefined,undefined,undefined,undefined,"undefined
",NA,NA,NA
154,color,13,0,TRUE,FALSE,5,,,FALSE,big,colorcheck,FALSE,3,red,undefined,6,purple,7/6/2020,16:54,6062,0,0,undefined,undefined,undefined,undefined,undefined,"undefined
",NA,NA,NA
184,color,1,2,TRUE,FALSE,0,7purplebig.jpg,7purplebig.jpg,TRUE,big,contrast,FALSE,7,purple,lomet,20,red,7/6/2020,16:50,4900,2,1,20,purple,7,purple,7,"red
",NA,NA,NA
184,color,2,3,TRUE,FALSE,0,4bluebig.jpg,4bluebig.jpg,FALSE,big,uniquetarget,TRUE,4,blue,sprock,3,red,7/6/2020,16:50,3779,1,0,4,blue,3,red,3,"red
",NA,NA,NA
184,color,3,1,FALSE,TRUE,0,11redbig.jpg,stim-images/object9redbig.jpg,FALSE,big,contrast,TRUE,11,red,wug,9,blue,7/6/2020,16:50,4733,3,2,11,blue,9,red,11,"red
",NA,NA,NA
184,color,4,3,TRUE,FALSE,0,8redbig.jpg,8redbig.jpg,FALSE,big,uniquetarget,TRUE,8,red,zorp,17,purple,7/6/2020,16:50,3894,3,0,17,purple,17,purple,8,"red
",NA,NA,NA
184,color,5,1,FALSE,TRUE,0,16bluebig.jpg,stim-images/object10bluebig.jpg,FALSE,big,contrast,TRUE,16,blue,blicket,10,purple,7/6/2020,16:50,4091,1,2,16,blue,10,blue,16,"purple
",NA,NA,NA
