subid,condition,counter,trialtype,percentage,utttype,searchtype,targetshape,targetcolor,targetsize,targetword,chosetarget,distractorshape1,distractorshape2,distractorsize,date,timestamp,rtsearch,rttest,targetpos,foilpos,attncheckscore,distractorcolor
325,size,1,2,56,noutt,contrast,15,green,small,blicket,false,12,3,big,8/31/2020,17:10,14038,6826,3,4,"0
",NA
325,size,2,1,54,noutt,differentshapes,6,green,big,dax,false,16,19,small,8/31/2020,17:10,12266,5546,3,1,"0
",NA
325,size,3,3,52,adj,differentshapes,7,red,small,gade,false,9,1,big,8/31/2020,17:10,16535,7658,4,1,"0
",NA
325,size,4,5,49,noadj,differentshapes,24,blue,small,toma,false,10,14,big,8/31/2020,17:11,10416,14900,4,2,"0
",NA
325,size,5,6,51,noadj,contrast,13,blue,big,sprock,false,21,18,small,8/31/2020,17:11,16205,7478,4,3,"0
",NA
325,size,6,4,50,adj,contrast,20,purple,big,wug,false,8,23,small,8/31/2020,17:12,9540,12132,4,3,"0
",NA
325,size,7,0,0,,attncheck,0,,,undefined,false,8,23,small,8/31/2020,17:12,9540,12132,4,3,"4
",NA
325,size,8,0,0,,colorcheck,0,red,,undefined,true,8,23,small,8/31/2020,17:12,9540,12132,4,3,"4
",NA
325,size,9,0,0,,colorcheck,0,blue,,undefined,true,8,23,small,8/31/2020,17:12,9540,12132,4,3,"4
",NA
325,size,10,0,0,,colorcheck,0,blue,,undefined,true,8,23,small,8/31/2020,17:12,9540,12132,4,3,"4
",NA
325,size,11,0,0,,colorcheck,0,red,,undefined,true,8,23,small,8/31/2020,17:12,9540,12132,4,3,"4
",NA
58,size,1,1,80,noutt,differentshapes,4,green,big,wug,false,19,1,small,8/31/2020,18:54,11059,8614,4,1,"0
",NA
58,size,2,2,75,noutt,contrast,7,purple,small,sprock,false,2,15,big,8/31/2020,18:54,9318,5183,3,4,"0
",NA
58,size,3,5,80,noadj,differentshapes,10,blue,big,toma,false,12,16,small,8/31/2020,18:54,7033,5638,3,2,"0
",NA
58,size,4,4,16,adj,contrast,6,blue,small,dax,false,14,8,big,8/31/2020,18:54,7916,5408,3,4,"0
",NA
58,size,5,6,65,noadj,contrast,17,green,big,gade,false,24,22,small,8/31/2020,18:55,13358,3233,3,4,"0
",NA
58,size,6,3,66,adj,differentshapes,23,blue,small,blicket,false,13,11,big,8/31/2020,18:55,6567,1968,3,2,"0
",NA
58,size,7,0,0,,attncheck,0,,,undefined,false,13,11,big,8/31/2020,18:55,6567,1968,3,2,"5
",NA
58,size,8,0,0,,colorcheck,0,red,,undefined,true,13,11,big,8/31/2020,18:55,6567,1968,3,2,"5
",NA
58,size,9,0,0,,colorcheck,0,blue,,undefined,true,13,11,big,8/31/2020,18:55,6567,1968,3,2,"5
",NA
58,size,10,0,0,,colorcheck,0,blue,,undefined,true,13,11,big,8/31/2020,18:55,6567,1968,3,2,"5
",NA
58,size,11,0,0,,colorcheck,0,red,,undefined,true,13,11,big,8/31/2020,18:55,6567,1968,3,2,"5
",NA
97,size,1,1,78,noutt,differentshapes,7,blue,big,wug,false,6,21,small,8/31/2020,15:19,12311,6819,3,1,"0
",NA
97,size,2,2,74,noutt,contrast,24,blue,big,gade,false,20,14,small,8/31/2020,15:19,13569,4971,4,3,"0
",NA
97,size,3,4,3,adj,contrast,4,blue,small,sprock,false,8,23,big,8/31/2020,15:20,7312,31311,3,4,"0
",NA
97,size,4,3,62,adj,differentshapes,17,green,small,dax,false,2,22,big,8/31/2020,15:20,8695,8171,4,1,"0
",NA
97,size,5,6,71,noadj,contrast,19,purple,small,blicket,false,16,3,big,8/31/2020,15:21,9887,6900,3,4,"0
",NA
97,size,6,5,78,noadj,differentshapes,1,red,big,toma,false,15,9,small,8/31/2020,15:21,12245,7308,3,2,"0
",NA
97,size,7,0,0,,attncheck,0,,,undefined,false,15,9,small,8/31/2020,15:21,12245,7308,3,2,"3
",NA
97,size,8,0,0,,colorcheck,0,red,,undefined,true,15,9,small,8/31/2020,15:21,12245,7308,3,2,"3
",NA
97,size,9,0,0,,colorcheck,0,blue,,undefined,true,15,9,small,8/31/2020,15:21,12245,7308,3,2,"3
",NA
97,size,10,0,0,,colorcheck,0,blue,,undefined,true,15,9,small,8/31/2020,15:21,12245,7308,3,2,"3
",NA
97,size,11,0,0,,colorcheck,0,red,,undefined,true,15,9,small,8/31/2020,15:21,12245,7308,3,2,"3
",NA
374,size,1,1,37,noutt,differentshapes,13,purple,small,dax,false,16,6,big,8/31/2020,17:12,16384,13097,4,1,"0
",NA
374,size,2,2,71,noutt,contrast,17,purple,small,gade,false,11,8,big,8/31/2020,17:13,8625,2228,3,4,"0
",NA
374,size,3,3,41,adj,differentshapes,10,red,big,sprock,false,9,3,small,8/31/2020,17:13,8147,2303,3,1,"0
",NA
374,size,4,5,78,noadj,differentshapes,4,purple,big,toma,false,18,14,small,8/31/2020,17:13,7692,4423,4,2,"0
",NA
374,size,5,4,72,adj,contrast,2,green,big,blicket,false,12,24,small,8/31/2020,17:13,10881,2059,4,3,"0
",NA
374,size,6,6,64,noadj,contrast,20,purple,small,wug,false,1,21,big,8/31/2020,17:14,20761,3195,4,3,"0
",NA
374,size,7,0,0,,attncheck,0,,,undefined,false,1,21,big,8/31/2020,17:14,20761,3195,4,3,"5
",NA
374,size,8,0,0,,colorcheck,0,red,,undefined,true,1,21,big,8/31/2020,17:14,20761,3195,4,3,"5
",NA
374,size,9,0,0,,colorcheck,0,blue,,undefined,true,1,21,big,8/31/2020,17:14,20761,3195,4,3,"5
",NA
374,size,10,0,0,,colorcheck,0,blue,,undefined,true,1,21,big,8/31/2020,17:14,20761,3195,4,3,"5
",NA
