value,score,parameter
1.0376119855067827,-2959.328409874428,size
0.7585305177296566,-2959.3309433646696,size
0.7585305177296566,-2959.3309433646696,size
0.7585305177296566,-2959.3309433646696,size
0.7967023199172895,-2959.0763787204305,size
0.7967023199172895,-2959.0763787204305,size
0.7967023199172895,-2959.0763787204305,size
0.8274349666604438,-2958.931092015232,size
0.8274349666604438,-2958.931092015232,size
0.8595976245049488,-2958.835575545684,size
0.8595976245049488,-2958.835575545684,size
0.8595976245049488,-2958.835575545684,size
0.8595976245049488,-2958.835575545684,size
0.8595976245049488,-2958.835575545684,size
0.8595976245049488,-2958.835575545684,size
0.8595976245049488,-2958.835575545684,size
0.8660475765991533,-2958.823337981594,size
0.8660475765991533,-2958.823337981594,size
0.8660475765991533,-2958.823337981594,size
0.8660475765991533,-2958.823337981594,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9496528235083892,-2958.8713889994165,size
0.9479443902876143,-2958.8666010427746,size
0.9479443902876143,-2958.8666010427746,size
0.8240864968646157,-2958.944351446763,size
0.8240864968646157,-2958.944351446763,size
